id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
8090,Tax Administration Expert,,Deloitte Consulting seeks a Tax Administration Expert for a USAID Tax Reform Project TRP. Under the supervision of the TRP Chief of Party COP the candidate will provide services for and contribute to the development and implementation of TRP project under the auspices of the USAID.,,100.0,10,,1,1,,open,remote,,,,,
8091,Commercial Manager,,- Manage the Commercial team consisting of Customer Care Marketing and Sales units; - Develop a motivated commercial team to respond quickly to market situation and development; - Develop plans to secure positive brand equity; - Define commercial strategy,,100.0,10,,1,1,,open,remote,,,,,
8092,Linguist-Expert in Armenian and English Languages,,United Nations Department of Public Information on behalf of UN Armenia Office is planning to issue a Bilingual Dictionary of UN Terminology. For this purpose three Experts-Linguists in Armenian and English language are required. The selected three Armenian linguists will review analyze define and decide on translations of the most commonly used UN terminology of the initial database prepared by the UN Department of Public Information. The work should be closely coordinated with the UN working group. The incumbents under the UN representatives guidance should work in expert working group on given number of entries provided in an electronic data base. The Ministry of Foreign Affairs of the Republic of Armenia also supports the project.,,100.0,10,,1,1,,open,remote,,,,,
8093,Service Manager,,Euromotors LLC is looking for an experienced and motivated person to cover the position of Service Manager.,,100.0,10,,1,1,,open,remote,,,,,
8094,Vehicle Engine Mechanic,,The incumbent will be responsible for the repair of engines.,,100.0,10,,1,1,,open,remote,,,,,
8095,Fast Food Restaurant Manager,,The incumbent will supervise the operating activities of KFC fast food restaurant.,,100.0,10,,1,1,,open,remote,,,,,
8096,Vehicle Mechanic,,The incumbent will be responsible for vehicle chassis repair.,,100.0,10,,1,1,,open,remote,,,,,
8097,Electrician,,The incumbent will be responsible for car diagnostics repair of electrical components.,,100.0,10,,1,1,,open,remote,,,,,
8098,Web Content Manager,,Alias LLC is looking for a dynamic self-motivated individual with experience and skills in web content management writing and editing for the web graphic design and general site management.,,100.0,10,,1,1,,open,remote,,,,,
8099,Financial Specialist,,Aalyst CJSC is looking for an experienced and motivated person to cover the position of Financial Specialist.,,100.0,10,,1,1,,open,remote,,,,,
8100,1C Programmer,,SAS Group is seeking a 1C Programmer to carry out the development of 1C applications for business needs.,,100.0,10,,1,1,,open,remote,,,,,
8101,Web Developer,,Union of Banks of Armenia is developing an electronic library of financial and financial related literature co-financed by the PFS Program of USAID. In this regard UBA is looking for qualified Web Developers for the development of a web site for the E-Library of professional books. The website should be of modern design with simple and user-friendly interface with smooth navigation system technically reliable and assure administrator-friendly infrastructure.,,100.0,10,,1,1,,open,remote,,,,,
8102,"Technologist, Information and Communication Technologies",,The incumbent will be responsible for identification and study of required automatization works at CBA development of automatization technology. He/ she will perform study of banking new technologies identification of application necessity and possibility.,,100.0,10,,1,1,,open,remote,,,,,
8103,Head of the English Language Chair,,Head of the Chair is elected for a period of 5 years and represents the chair in the faculty and outside of it takes part in the discussions involving the issues concerning the chair.,,100.0,10,,1,1,,open,remote,,,,,
8104,Emergency Care Consultant,,Abt Associates is hiring an Emergency Care Consultant for a USAID-funded project in Armenia that aims to strengthen the Armenian health system and improve the quality of health services with a particular focus on primary health care maternal and child health reproductive health/ family planning tuberculosis emergency care and non-communicable diseases services.  The Consultant will assist with the planning and implementation of the projects activities to improve the emergency/ ambulance services in the country. The Consultant will work closely with other members of the Quality of Care Team and Health Financing and Governance Team and will report to the Team Leader for Quality of Care and to the COP/ DCOP.,,100.0,10,,1,1,,open,remote,,,,,
8105,Brand Manager,,Aldo is seeking a Brand Manager who will drive maximum profitability and develop the brand manage the operations of store and build relationships and work effectively with the host brand teams.,,100.0,10,,1,1,,open,remote,,,,,
